app_id,tag
6980,Adventure
6980,FPS
6980,Immersive Sim
6980,RPG
6980,Stealth
7000,3D Platformer
7000,Action
7000,Action-Adventure
7000,Adventure
7000,Modern
7000,Platformer
7000,Puzzle
7000,Shooter
7000,Third-Person Shooter
7010,Action
7010,FPS
7010,Shooter
7020,Action
7020,Shooter
7020,Stealth
7020,Third-Person Shooter
7110,Action
7110,Action RPG
7110,Adventure
7110,CRPG
7110,Party-Based RPG
7110,RPG
7200,Action
7200,Arcade
7200,Driving
7200,Level Editor
7200,Racing
7210,Adventure
7210,Escape Room
7210,Point & Click
7210,Puzzle
7220,Adventure
7220,Point & Click
7220,Puzzle
7260,Action
7260,Action RPG
7260,Hack and Slash
7260,RPG
7340,Hidden Object
7340,Puzzle
7510,Action
7510,Adventure
7510,Beat 'em up
7510,Character Action Game
7510,Hack and Slash
7510,RPG
7510,Spectacle fighter
7520,Action
7520,Action RPG
7520,Adventure
7520,Crafting
7520,Hack and Slash
7520,Inventory Management
7520,RPG
7520,Sandbox
7530,Strategy
7530,Tower Defense
7600,Building
7600,Economy
7600,Management
7600,Simulation
7600,Strategy
7600,Trains
7610,Building
7610,Economy
7610,Management
7610,Resource Management
7610,Sandbox
7610,Simulation
7610,Strategy
7610,Trains
7620,Economy
7620,Management
7620,Simulation
7620,Strategy
7620,Trains
7650,Base Building
7650,Management
7650,Strategy
7650,Tactical
7650,Turn-Based
7650,Turn-Based Strategy
7650,Turn-Based Tactics
7660,Base Building
7660,Management
7660,Real-Time Strategy
7660,Strategy
7660,Tactical
7660,Turn-Based
7660,Turn-Based Strategy
7660,Turn-Based Tactics
7670,Action
7670,Adventure
7670,Alternate History
7670,Dystopian
7670,FPS
7670,RPG
7670,Shooter
7730,Flight
7730,Simulation
7730,Space Sim
7730,Strategy
7760,Base Building
7760,Management
7760,Simulation
7760,Strategy
7760,Tactical
7760,Turn-Based
7760,Turn-Based Strategy
7760,Turn-Based Tactics
7770,Action
7770,Shooter
7770,Strategy
7770,Third-Person Shooter
7800,Action
7800,Action-Adventure
7800,Adventure
7800,Alternate History
7800,Arcade
7800,Dark Comedy
7800,Outbreak Sim
7800,Vehicular Combat
7830,Action
7830,Level Editor
7830,Real-Time Strategy
7830,Real-Time Tactics
7830,Sandbox
7830,Shooter
7830,Simulation
7830,Strategy
7830,Tactical
7840,Action
7840,Arcade
7840,Racing
7840,Shooter
7860,Action
7860,Alternate History
7860,FPS
7860,Shooter
7940,Action
7940,FPS
7940,Modern
7940,Shooter
8000,3D Platformer
8000,Action
8000,Action-Adventure
8000,Adventure
8000,Platformer
8000,Puzzle
8000,Shooter
8000,Third-Person Shooter
8080,Action
8080,Adventure
8080,Heist
8080,Shooter
8080,Third-Person Shooter
8100,Action
8100,FPS
8100,Shooter
8140,3D Platformer
8140,Action
8140,Action-Adventure
8140,Adventure
8140,Platformer
8140,Puzzle
8140,Shooter
8140,Third-Person Shooter
8170,Action
8170,Alternate History
8170,Flight
8170,Naval Combat
8170,Real-Time Strategy
8170,Simulation
8170,Strategy
8190,Action
8190,Adventure
8190,Sandbox
8190,Shooter
8190,Third-Person Shooter
8260,Adventure
8260,Point & Click
8330,Card Game
8330,Gambling
8340,Adventure
8340,Point & Click
8340,Puzzle
8340,Sports
8340,Surreal
8400,Action
8400,Arcade
8400,Arena Shooter
8400,Bullet Hell
8400,Shoot 'Em Up
8400,Shooter
8400,Twin Stick Shooter
8600,Automobile Sim
8600,Driving
8600,Racing
8600,Simulation
8600,Sports
8660,Automobile Sim
8660,Driving
8660,Racing
8660,Simulation
8690,Automobile Sim
8690,Driving
8690,Racing
8690,Simulation
8790,Automobile Sim
8790,Driving
8790,Racing
8790,Simulation
8790,Sports
8800,4X
8800,Grand Strategy
8800,Management
8800,Simulation
8800,Strategy
8800,Turn-Based
8800,Turn-Based Strategy
8850,Action
8850,Action RPG
8850,Adventure
8850,Dystopian
8850,FPS
8850,RPG
8850,Shooter
8880,Comic Book
8880,RPG
8880,Strategy
8880,Tactical
8890,Comic Book
8890,RPG
8890,Strategy
8970,Point & Click
8970,Puzzle
8980,Action
8980,Action RPG
8980,Adventure
8980,FPS
8980,Looter Shooter
8980,RPG
8980,Shooter
8990,Action
8990,RPG
9010,Action
9010,Adventure
9010,Alternate History
9010,FPS
9010,Shooter
9010,Stealth
9060,Action
9060,FPS
9060,Puzzle
9060,RPG
9060,Shooter
9180,Action
9180,Adventure
9180,Platformer
9180,Side Scroller
9200,Action
9200,Adventure
9200,Crafting
9200,FPS
9200,RPG
9200,Racing
9200,Shooter
9200,Survival
9310,Action
9310,Base Building
9310,Real-Time Strategy
9310,Strategy
9310,Tactical
9340,Action
9340,Base Building
9340,Real-Time Strategy
9340,Simulation
9340,Strategy
9340,Tactical
9340,Tanks
9350,Action
9350,Base Building
9350,Real-Time Strategy
9350,Strategy
9420,Action
9420,Adventure
9420,Base Building
9420,Grand Strategy
9420,Real-Time Strategy
9420,Strategy
9450,Action
9450,Adventure
9450,Base Building
9450,Real-Time Strategy
9450,Strategy
9460,Action
9460,FPS
9460,Shooter
9480,Action
9480,Adventure
9480,Sandbox
9480,Shooter
9480,Third-Person Shooter
9500,Action
9500,Adventure
9500,Platformer
9500,Puzzle
9500,Puzzle Platformer
9710,Action
9710,Adventure
9710,Strategy
9710,Tactical
9730,City Builder
9730,Management
9730,Simulation
9760,Action
9760,Real-Time Strategy
9760,Strategy
9800,Action
9800,Adventure
9800,Stealth
9850,Real-Time Strategy
9850,Simulation
9850,Strategy
9850,Tactical
9880,Action
9880,Action RPG
9880,Adventure
9880,Comic Book
9880,FPS
9880,RPG
9940,Action
9940,Adventure
9940,Hack and Slash
9940,Platformer
9960,Adventure
9970,Action
9980,Puzzle
10100,Adventure
10100,Escape Room
10100,Point & Click
10100,Puzzle
10110,Adventure
10110,Escape Room
10110,Point & Click
10110,Survival
10120,Action
10120,On-Rails Shooter
10130,Action
10130,Alternate History
10130,FPS
10130,Shooter
10140,Golf
10140,Sports
10150,Action
10150,Action-Adventure
10150,Adventure
10150,Hack and Slash
10150,RPG
10150,Sandbox
10150,Stealth
10195,Action
10195,FPS
10196,Action
10196,FPS
10220,Action
10220,Adventure
10220,FPS
10220,Sandbox
10220,Shooter
10220,Third-Person Shooter
10230,Adventure
10230,Point & Click
10240,Adventure
10240,Point & Click
10250,Simulation
10260,Simulation
10270,Adventure
10270,RPG
10270,Strategy
10270,Turn-Based
10270,Turn-Based Strategy
10460,Action
10460,Arcade
10460,Third-Person Shooter
10500,Action
10500,Adventure
10500,Grand Strategy
10500,Real-Time Strategy
10500,Real-Time Tactics
10500,Strategy
10500,Tactical
10500,Turn-Based
10500,Turn-Based Strategy
10500,Turn-Based Tactics
10600,Strategy
10604,Strategy
10606,Strategy
10607,Strategy
10608,Strategy
10680,Action
10680,Adventure
10680,FPS
10680,Hunting
10680,Shooter
10680,Stealth
10680,Strategy
10680,Survival
10680,Survival Horror
10695,Action
10697,Action
11020,Action
11020,Adventure
11020,Arcade
11020,Automobile Sim
11020,Level Editor
11020,Racing
11020,Sandbox
11020,Simulation
11020,Sports
11040,Adventure
11040,Point & Click
11040,Puzzle
11040,RPG
11050,Adventure
11050,Hidden Object
11050,Point & Click
11050,Puzzle
11130,Adventure
11130,Point & Click
11130,Puzzle
11140,Adventure
11140,Point & Click
